ssot_slug,yandex_name,chel_wp_term_id,chel_wp_name,chel_doctors_count,spb_doctors_count,spb_raw_variants,manual_merge,merge_status,notes
офтальмолог,офтальмолог (окулист),,,0,1,"Врач-офтальмолог высшей квалификационной категории, лазерный хирург. Кандидат медицинских наук. Заместитель главного врача по поликлинике.",,spb_only,
офтальмолог-протезист,офтальмолог-протезист,,,0,0,,,yandex_only,
офтальмохирург,офтальмохирург,,,0,0,,,yandex_only,
паразитолог,паразитолог,,,0,0,,,yandex_only,
патологоанатом,патологоанатом,,,0,0,,,yandex_only,
pediatr,педиатр,1305,педиатр,5,1,Врач-дерматовенеролог. Врач-педиатр,,chel_spb,
перинатолог,перинатолог,,,0,0,,,yandex_only,
пластический-хирург,пластический хирург,,,0,0,,,yandex_only,
подиатр,подиатр,,,0,0,,,yandex_only,
podolog,подолог,1307,подолог,0,0,,,chel_only,
профпатолог,профпатолог,,,0,0,,,yandex_only,
psihiatr,психиатр,1289,психиатр,0,0,,,chel_only,
психолог,психолог,,,0,2,"Психолог || Психолог, кандидат психологических наук.",,spb_only,
psihoterapevt,психотерапевт,1291,психотерапевт,0,1,Врач-психотерапевт.,,chel_spb,
pulmonolog,пульмонолог,1298,пульмонолог,1,2,"Врач-пульмонолог высшей квалификационной категории. || Врач – терапевт, пульмонолог.",,chel_spb,
радиолог,радиолог,,,0,0,,,yandex_only,
радиотерапевт,радиотерапевт,,,0,0,,,yandex_only,
реабилитолог,реабилитолог,,,0,0,,,yandex_only,
реаниматолог,реаниматолог,,,0,0,,,yandex_only,
revmatolog,ревматолог,1299,ревматолог,2,2,"Заместитель главного врача по клинико-экспертной работе, врач-ревматолог, кандидат медицинских наук. || Врач-ревматолог",,chel_spb,
рентгенолог,рентгенолог,,,0,0,,,yandex_only,
reproduktolog,репродуктолог,1268,Репродуктолог,0,6,"Заместитель главного врача по ВРТ, врач — акушер-гинеколог, репродуктолог, врач ультразвуковой диагностики, кандидат медицинских наук. || Врач — акушер-гинеколог первой категории, репродуктолог, врач ультразвуковой диагностики. || Врач — акушер-гинеколог, репродуктолог, врач ультразвуковой диагностики. || Старший врач акушер-гинеколог отделения ВРТ, репродуктолог, врач ультразвуковой диагностики, врач высшей категории. || Врач-акушер-гинеколог, репродуктолог, врач ультразвуковой диагностики. || Врач акушер-гинеколог, репродуктолог, оперирующий гинеколог. Доктор медицинских наук, доцент кафедры акушерства и гинекологии с клиникой ФГБУ «НМИЦ им. В. А. Алмазова» Минздрава России.",,chel_spb,
refleksoterapevt,рефлексотерапевт,1293,рефлексотерапевт,1,0,,,chel_only,
сексолог,сексолог,,,0,0,,,yandex_only,
семейный-врач,семейный врач,,,0,0,,,yandex_only,
serdechno-sosudistyj-hirurg,сердечно-сосудистый хирург,1309,сердечно-сосудистый хирург,0,0,,,chel_only,
somnolog,сомнолог,1276,сомнолог,1,0,,,chel_only,
сосудистый-хирург,сосудистый хирург,,,0,0,,,yandex_only,
специалист-по-грудному-вскармливанию,специалист по грудному вскармливанию,,,0,0,,,yandex_only,
спортивный-врач,спортивный врач,,,0,0,,,yandex_only,
стоматолог,стоматолог,,,0,0,,,yandex_only,
стоматолог-гигиенист,стоматолог-гигиенист,,,0,0,,,yandex_only,
стоматолог-имплантолог,стоматолог-имплантолог,,,0,0,,,yandex_only,
стоматолог-ортодонт,стоматолог-ортодонт,,,0,0,,,yandex_only,
стоматолог-ортопед,стоматолог-ортопед,,,0,0,,,yandex_only,
стоматолог-пародонтолог,стоматолог-пародонтолог,,,0,0,,,yandex_only,
стоматолог-терапевт,стоматолог-терапевт,,,0,0,,,yandex_only,
стоматолог-хирург,стоматолог-хирург,,,0,0,,,yandex_only,
стоматолог-эндодонт,стоматолог-эндодонт,,,0,0,,,yandex_only,
судебно-медицинский-эксперт,судебно-медицинский эксперт,,,0,0,,,yandex_only,
сурдолог,сурдолог,,,0,0,,,yandex_only,
сурдолог-протезист,сурдолог-протезист,,,0,0,,,yandex_only,
terapevt,терапевт,1275,терапевт,6,9,"Психолог || Врач-терапевт, гемостазиолог || Врач-эндокринолог высшей категории, терапевт, гастроэнтеролог. Кандидат медицинских наук. || Врач-гастроэнтеролог высшей квалификационной категории, терапевт, диетолог. || Терапевт || Врач-эндоскопист || Врач-нефролог, анестезиолог-реаниматолог, врач высшей квалификационной категории. Кандидат медицинских наук. || Врач – терапевт, пульмонолог.",,chel_spb,
токсиколог,токсиколог,,,0,0,,,yandex_only,
торакальный-онколог,торакальный онколог,,,0,0,,,yandex_only,
торакальный-хирург,торакальный хирург,,,0,0,,,yandex_only,
travmatolog,травматолог,1300,травматолог,4,0,,,chel_only,
трансплантолог,трансплантолог,,,0,0,,,yandex_only,
трансфузиолог,трансфузиолог,,,0,0,,,yandex_only,
triholog,трихолог,1283,Трихолог,2,0,,,chel_only,
